glyph_unified	src_ref	pronunciation	meaning
쐀	D0-00101	ʔᴀ⁵⁵/ʔᴀ²¹	阿（词头，用途广泛）。
쐁	D0-01001	ʔᴀ⁵⁵	狐。
쐂	D0-01002	ʔᴀ⁵⁵	沙（锅）；土锅。
쐃	D0-01003	ʔᴀ⁵⁵/t͡sʰɛ³³	请。
쐄	D0-01004	ʔᴀ⁵⁵	鹌。
쐅	D0-01101	ʔᴀ²¹	仍；依。
쐆	D0-01201	ʔe⁵⁵	现；此。
쐇	D0-01202	ʔe⁵⁵	这。
쐈	D0-01301	ʔe⁵⁵	叫。
쐉	D0-01302	ʔe⁵⁵	咿。
쐊	D0-01303	ʔḛ³³	吐（小孩吐食）。
쐋	D0-01304	ʔɛ⁵⁵	鹅。
쐌	D0-01401	ʔæ⁵⁵	ai。【艾滋病】，【爱辉】。
쐍	D0-01402	ʔæ⁵⁵	an。【暗标】，【按摩】…
쐎	D0-01403	ʔæ̰³³	牛。【斗牛（使动）】，【公水牛】…
쐏	D0-01501	ʔæ̰³³	腌（肉）。
쐐	D0-01502	ʔæ̰³³	叫；哇（象声词）。
쐑	D0-01503	ʔɑu³³	ao。【凹板】，【凹透镜】。
쐒	D0-01504	ʔo̰³³	呕。
쐓	D0-01505	ʔo³³	噢。
쐔	D0-01506	ʔou³³	ou。【欧元】，【欧洲】。
쐕	D0-01601	ʔu⁵⁵/t͡su⁵⁵	蹲。
쐖	D0-01602	ʔu⁵⁵	头。
쐗	D0-01801	ʔṵ⁵⁵/ŋṵ³³	挑。
쐈	D0-01802	ʔɤ⁵⁵	喊；叫；招；请；唤。
쐙	D0-01803	ʔɤ⁵⁵/ʔɤ³³/ʔɤ²¹	e。【厄尔尼诺现象】，【扼要】…
쐚	D0-01901	ʔɤ²¹	泡。
쐛	D0-01902	ʔɤ³³	肾；腰子。
쐜	D0-01903	ʔɤ̰³³	鸭。
쐝	D0-01904	ʔɤ̰³³	捧。
쐞	D0-02001	pi⁵⁵	屄；阴性；女性及雌性动物生殖器。
쐟	D0-02002	pi⁵⁵/pi³³/pi²¹	bi。【币值】，【币制】…
쐠	D0-02101	pḭ³³	跳。
쐡	D0-02102	pi²¹	盖；关。
쐢	D0-02201	piæn⁵⁵/piæn³³	bian。【汴京】，【变形金刚】…
쐣	D0-02301	piau⁵⁵/piau³³/piau²¹	biao。【鳔胶】，【标本】…
쐤	D0-02302	piɛ²¹	bie。【别墅】，【别针】。
쐥	D0-02303	pin⁵⁵/pin³³	bin。【殡车】，【殡仪馆】…
쐥	D0-02304	piŋ⁵⁵/piŋ³³/piŋ²¹	bing。【并案】，【并存】…
쐧	D0-02401	pe⁵⁵/pe³³/pe²¹	bei。【焙干】，【蓓蕾】…
쐨	D0-02501	pḛ³³	碗。
쐩	D0-02502	pḛ³³	伴。
쐪	D0-02503	pɛ⁵⁵	襁。
쐫	D0-02601	pɛ⁵⁵	被子。
쐬	D0-02602	pɛ⁵⁵	包（动词）。
쐭	D0-02603	pɛ³³/tɛ³³	粗（实）；粗（壮）。
쐮	D0-02604	pɛ³³	斗；扳挣（使动）。
쐯	D0-02605	pɛ²¹	拜。
쐰	D0-02606	pəŋ⁵⁵	ben/beng。【笨蛋】，【镚子】…
쐰	D0-02607	pən³³/pən²¹	ben/beng。【奔驰】，【崩盘】…
쐲	D0-02701	pæ⁵⁵	办。
쐳	D0-02702	pæ⁵⁵	【喜鹊】，【道歉】，【灭亡；打败】，【掺和；搅拌】。
쐴	D0-02703	pæ⁵⁵	ban。【办公】，【办公室】…
쐵	D0-02704	pæ̰³³	蚱；蝗虫。
쐶	D0-02705	pæ̰³³	翘。
쐷	D0-02801	pæ²¹	唇。
쐸	D0-02802	pæ̰²¹	拐。
쐹	D0-02803	pæ̰²¹	镰。
쐺	D0-02804	pai²¹	bai。【白菜】，【白醋】…
쐴	D0-02901	pɑn³³/pɑn²¹	ban。【扳手】，【扳子】…
쐴	D0-02902	pɑŋ³³/pɑŋ²¹	bang。【邦交】，【邦联】…
쐽	D0-03001	pɑu⁵⁵/pɑu³³/pɑu²¹	bao。【报案】，【报表】…
쐾	D0-03101	po⁵⁵	【换了】，【来换】，【轮换；换衣】，【换回来】，【换给（别人）】。
쐿	D0-03102	po⁵⁵	祖；爷。
쑀	D0-03103	po⁵⁵	菜刀词头。
쑁	D0-03104	po⁵⁵	蝌蚪词头。
쑂	D0-03105	po³³	蛙的总称。
쑃	D0-03106	po³³	蒸（动词）。
쑄	D0-03107	po³³	桶；洞；锁；鼓（物体后缀用字）。
쑅	D0-03201	po³³	臂；腿肚后缀。
쑆	D0-03202	po³³	公；雄（性猪后缀）。
쑇	D0-03203	po³³	糖（类前缀）。
쑈	D0-03204	po³³	bo。【拨浪鼓】，【波长】…
쑆	D0-03205	po̰²¹	雄（性牛、马狗等后缀用字）。
쑊	D0-03206	po̰²¹	绞。
쑋	D0-03207	po̰²¹	稠（与稀相对）。
쑌	D0-03208	po̰²¹	臀股（部后缀）。
쑍	D0-03301	pu⁵⁵	豪猪（名词）。
쑎	D0-03302	pu⁵⁵	碓档（名词）。
쑏	D0-03303	pu⁵⁵/pu²¹	bu。【步兵】，【部门】…
쑐	D0-03304	pu³³	（花）朵（量词）。
쑑	D0-03305	pu³³	控；告（动词）。
쑒	D0-03306	pu³³	冠。
쑓	D0-03307	pṵ³³	返；转。
쑔	D0-03308	pṵ³³	缎。
쑕	D0-03309	pṵ³³	转（动词）。
쑖	D0-03310	pṵ³³	团（动词）。
쑗	D0-03311	pṵ³³	教；训；驯。
쑘	D0-03312	pṵ³³/kᴀ⁵⁵	炕；烙。
쑙	D0-03401	pṵ³³	翻；反。
쑚	D0-03402	pṵ³³/pʰo²¹	译。
쑛	D0-03403	pṵ³³	再；重。
쑜	D0-03404	pu²¹	泡；浇（汤）。
쑝	D0-03405	pu²¹	背（使动）。
쑞	D0-03406	pṵ²¹	肥壮。
쑟	D0-03407	pṵ²¹/pɛ⁵⁵	树节子。
쑠	D0-03408	pɤ⁵⁵	毕（摩）师。
쑡	D0-03409	pɤ⁵⁵	堆码（动词）。
쑢	D0-03410	pɤ⁵⁵	念；诵。
쑣	D0-03411	pɤ³³	搜。
쑤	D0-03412	pɤ̰³³	炸。
쑥	D0-03413	pɤ̰³³	背箩（名词）。
쑦	D0-03414	pɤ̰³³	僬；矮。
쑧	D0-03415	pɤ²¹	（肺）肚子。
쑨	D0-03416	pɤ²¹	倒（使动）。
쑩	D0-03417	pɤ²¹	本（量词）。
쑪	D0-03501	pɤ̰²¹	渣。
쑫	D0-03502	pɤ̰²¹	结杆草。
쑬	D0-03503	pʰi⁵⁵/pʰi³³/pʰi²¹	pi。【淠河】，【譬如】…
쑭	D0-03504	pʰi³³	唇。
쑮	D0-03505	pʰi³³	妣；奶；婆。
쑯	D0-03506	pʰi³³	顺畅。
쑰	D0-03507	pʰḭ³³	招。
쑱	D0-03508	pʰḭ³³	扒；拔；刨。
쑲	D0-03601	pʰḭ²¹/pæ̰²¹	排；放（水）。
쑳	D0-03602	pʰḭ²¹	呕吐。
쑴	D0-03603	pʰḭ²¹/pʰḛ²¹	后（天）。
쑵	D0-03604	pʰiæn⁵⁵/pʰiæn³³/pʰiæn²¹	pian。【片段】，【片刻】…
쑶	D0-03701	pʰiɑu⁵⁵/pʰiɑu³³/pʰiɑu²¹	piao。【票额】，【票房】…
쑷	D0-03702	pʰiɛ³³/pʰiɛ²¹	pie。【撇开】，【苤蓝】…
쑸	D0-03801	pʰin⁵⁵/pʰin³³/pʰin²¹	pin。【聘礼】，【聘请】…
쑸	D0-03901	pʰiŋ³³/pʰiŋ²¹	ping。【乒乓】，【乒乓球】…
쑺	D0-04001	pʰe⁵⁵	剖。
쑻	D0-04002	pʰe⁵⁵	毛手毛脚。
쑼	D0-04003	pʰe⁵⁵	边、面（方位词）。
쑽	D0-04004	pʰe⁵⁵	配；聘。
쑾	D0-04005	pʰe⁵⁵	瓢。
쑿	D0-04006	pʰe⁵⁵	钹（打击乐器）。
쒀	D0-04007	pʰe⁵⁵	破。
쒁	D0-04008	pʰe³³	臼。
쒂	D0-04009	pʰe³³	页；张（量词）。
쒃	D0-04010	pʰe³³	升（容量单位，名词，量词）。
쒄	D0-04011	pʰe³³	参；拼。
쒅	D0-04012	pʰḛ³³	只（量词）。
쒆	D0-04013	pʰḛ³³	杆；臂。
쒇	D0-04014	pʰḛ³³/pe³³	半；平。
쒈	D0-04015	pʰe²¹	另；其他。
췖	D0-04101	pʰe²¹	泼；洒。
쒊	D0-04102	pʰe²¹	吐。
쒋	D0-04103	pʰe²¹/tæ̰³³	扁。
쒌	D0-04104	pʰe²¹	铺；肤。
쒍	D0-04105	pʰe²¹	浪；抛。
쒎	D0-04106	pʰe²¹	叶。
쒏	D0-04107	pʰḛ²¹	温；平。
쒐	D0-04201	pʰei⁵⁵/pʰei³³/pʰei²¹	pei。【佩服】，【配备】…
쒑	D0-04202	pʰən³³/pʰən²¹	pen。【喷发】，【喷泉】…
쒑	D0-04203	pʰəŋ⁵⁵/pʰəŋ³³/pʰəŋ²¹	peng。【碰壁】，【碰头】…
쒓	D0-04301	pʰɛ⁵⁵	灰（颜色）。
쒔	D0-04302	pʰɛ³³	旗。
쒕	D0-04303	pʰɛ³³	停；散；谢。
쒖	D0-04304	pʰɛ³³	荒；荐；坪。
쒗	D0-04305	pʰɛ³³	废（物）。
쒘	D0-04306	pʰɛ²¹	浑（水）。
쒙	D0-04307	pʰɛ²¹	肩胛。
쒚	D0-04401	pʰɛ²¹	脊。
쒛	D0-04402	pʰɛ²¹	抢；夺。
쒜	D0-04403	pʰɛ²¹	蓝（色）。
쒝	D0-04404	pʰɛ²¹	茯。
쒞	D0-04405	pʰɛ²¹	蒙（细雨）（形容词缀）。
쒟	D0-04406	pʰæ̰³³	浅。
쒠	D0-04407	pʰæ̰³³	掀。
쒡	D0-04408	pʰæ̰³³	掰。
쒢	D0-04409	pʰæ̰³³	剥。
쒣	D0-04410	pʰᴀ⁵⁵	堆（量词）。
